Grundform Verb,,Präsens alanyi,,,,,,Präsens targyas,,,,,,Vergangenheit alanyi ,,,,,,Vergangenheit targyas,,,,,,Zukunft alanyi,,,,,,Zukunft targyas,,,,,
,Übersetzung,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők
lenni,sein,vagyok,vagy,van,vagyunk,vagytok,vannak,voltam,voltál,volt,voltunk,voltatok,voltak,lennék,lennél,lenne,lennénk,lennétek,lennének,lettem volna,lettél volna,lett volna,lettünk volna,lettetek volna,lettek volna,,,,,,,,,,,,
tudni,können / wissen,tudok,tudsz,tud,tudunk,tudtok,tudnak,tudom,tudod,tudja,tudjuk,tudjátok,tudják,tudtam,tudtál,tudott,tudtunk,tudtatok,tudtak,tudtam,tudtad,tudta,tudtuk,tudtátok,tudták,fogok tudni,fogsz tudni,fog tudni,fogunk tudni,fogtok tudni,fognak tudni,fogom tudni,fogod tudni,fogja tudni,fogjuk tudni,fogjátok tudni,fogják tudni
mondani,sagen ,mondok,mondasz,mond,mondunk,mondotok,mondanak,mondom,mondod,mondja,mondjuk,mondjátok,mondják,mondtam,mondtál,mondott,mondtunk,mondtatok,mondtak,mondtam,mondtad,mondta,mondtuk,mondtátok,mondták,fogok mondani,fogsz mondani,fog mondani,fogunk mondani,fogtok mondani,fognak mondani,fogom mondani,fogod mondani,fogja mondani,fogjuk mondani,fogjátok mondani,fogják mondani
csinálni,machen,csinálok,csinálsz,csinál,csinálunk,csináltok,csinálnak,csinálom,csinálod,csinálja,csináljuk,csináljátok,csinálják,csináltam,csináltál,csinált,csináltunk,csináltatok,csináltak,csináltam,csináltad,csinálta,csináltuk,csináltátok,csinálták,fogok csinálni,fogsz csinálni,fog csinálni,fogunk csinálni,fogtok csinálni,fognak csinálni,fogom csinálni,fogod csinálni,fogja csinálni,fogjuk csinálni,fogjátok csinálni,fogják csinálni
adni,geben,adok,adsz,ad,adunk,adtok,adnak,adom,adod,adja,adjuk,adjátok,adják,adtam,adtál,adott,adtunk,adtatok,adtak,adtam,adtad,adta,adtuk,adtátok,adták,fogok adni,fogsz adni,fog adni,fogunk adni,fogtok adni,fognak adni,fogom adni,fogod adni,fogja adni,fogjuk adni,fogjátok adni,fogják adni
jönni,kommen,jövök,jössz,jön,jövünk,jöttök,jönnek,jöttem,jöttél,jött,jöttünk,jöttetek,jöttek,jönnék,jönnél,jönne,jönnénk,jönnétek,jönnének,jöttem volna,jöttél volna,jött volna,jöttünk volna,jöttetek volna,jöttek volna,,,,,,,,,,,,
akarni,wollen,akarok,akarsz,akar,akarunk,akartok,akarnak,akarom,akarod,akarja,akarjuk,akarjátok,akarják,akartam,akartál,akart,akartunk,akartatok,akartak,akartam,akartad,akarta,akartuk,akartátok,akarták,fogok akarni,fogsz akarni,fog akarni,fogunk akarni,fogtok akarni,fognak akarni,fogom akarni,fogod akarni,fogja akarni,fogjuk akarni,fogjátok akarni,fogják akarni
menni,gehen ,megyek,mész,megy,megyünk,mentek,mennek,mentem,mentél,ment,mentünk,mentetek,mentek,mennék,mennél,menne,mennénk,mennétek,mennének,mentem volna,mentél volna,ment volna,mentünk volna,mentetek volna,mentek volna,,,,,,,,,,,,
látni,sehen,látok,látsz,lát,látunk,láttok,látnak,látom,látod,látja,látjuk,látjátok,látják,láttam,láttál,látott,láttunk,láttatok,láttak,láttam,láttad,látta,láttuk,láttátok,látták,fogok látni,fogsz látni,fog látni,fogunk látni,fogtok látni,fognak látni,fogom látni,fogod látni,fogja látni,fogjuk látni,fogjátok látni,fogják látni
hagyni,lassen,hagyok,hagysz,hagy,hagyunk,hagytok,hagynak,hagyom,hagyod,hagyja,hagyjuk,hagyjátok,hagyják,hagytam,hagytál,hagyott,hagytunk,hagytatok,hagytak,hagytam,hagytad,hagyta,hagytuk,hagytátok,hagyták,fogok hagyni,fogsz hagyni,fog hagyni,fogunk hagyni,fogtok hagyni,fognak hagyni,fogom hagyni,fogod hagyni,fogja hagyni,fogjuk hagyni,fogjátok hagyni,fogják hagyni
